name,restaurant_reference,is_live,visible,effective_tax_pct,menu_count,item_count,order_count,multi_unit_link_slug,run,converted_at_utc
Eggstasy - Queen Creek,188f682c-0cc4-44b7-a174-561ccecd797b,true,true,8.55,1,47,6,eggstasy,chain run,2026-09-09T11:44:54.419Z
Eggstasy - Scottsdale,49a5fa8d-9ea7-4353-a655-5a903358302e,true,true,8,1,47,20,eggstasy,chain run,2026-09-09T11:45:36.985Z
Eggstasy - The Colony,4ca9a6d4-4840-434c-8447-511a5a06d854,true,true,9.1,1,47,3,eggstasy,chain run,2026-09-09T11:45:06.079Z
Fat Boy's Pizza - Covington,66d75927-1cc8-4d00-9d1e-4f625cd2f547,true,true,10,2,38,1,metairie,mass run,2026-09-09T01:15:27.045Z
Fat Boy's Pizza - Fort Wayne,d2ea1a1f-b0a5-4b00-afc5-bc25752b57d6,true,true,8,2,37,1,,mass run,2026-09-09T01:15:57.391Z
Fat Boy's Pizza - Harvey,754705a3-d7da-49db-bc44-a7c3d2905dc0,true,true,9.75,2,38,2,metairie,chain run,2026-09-09T11:52:12.145Z
Fat Boy's Pizza - Metairie,a8902c33-78c4-4c74-bebb-3cff826c646b,true,true,9.75,2,38,4,metairie,chain run,2026-09-09T11:51:46.345Z
Fish Cheeks,1c8e3287-7d15-4c8f-b238-fd68be7c011b,true,true,8.875,1,29,1,,mass run,2026-09-09T01:16:15.399Z
Green Tomato Grill,4fe8f1c6-9abb-4f76-a2cb-32adfaecfdc6,true,true,7.75,1,124,1,,mass run,2026-09-09T01:18:31.597Z
Green Wrap Eatery,d01c1ee9-044a-486b-9f5b-85a3cb6d8a7d,true,true,8,1,26,1,,mass run,2026-09-09T01:18:52.933Z
Happy's Pizza - Port Huron ,31c6a621-28ad-46db-9a87-f82bd01d0e32,true,true,6,1,50,1,happyspizzacatering,mass run,2026-09-09T01:19:51.779Z
Hello Halloumi,7d284d58-c9ab-4279-919b-cedcda27b114,true,true,8.875,1,22,1,,named conversion,2026-09-09T01:20:18.978Z
Huckaby's Smokehouse,840dcb21-c6d5-44d2-b718-e6f5b3df69fb,false,false,9,1,22,1,,mass run,2026-09-09T01:21:38.102Z
Hungry House,dacacc8f-8b7c-40d2-8fe7-d1cda02315ae,false,false,8.875,1,52,1,,mass run,2026-09-09T01:21:54.354Z
Isle of Us,f7aff310-27ee-495b-a1b0-8d71442e1518,false,true,8.875,1,64,1,,mass run,2026-09-09T01:22:36.473Z
Julio's Pizza Co. – Atlantic Highlands,4e675698-6882-4816-a3ce-c437af967495,true,true,6.625,2,51,10,juliospizzaco,chain run,2026-09-09T11:52:46.619Z
Julio's Pizza Co. – Keansburg,44f125ae-7c43-4a8c-b2e8-d348f591af5c,false,true,6.625,2,63,1,juliospizzaco,mass run,2026-09-09T01:23:04.750Z
